Genome ID	MC	previous MC used in Coral project	Ecosystem	name	contig number(NGS or nanopore	published	Collaborator	# contigs (NGS)	Completeness	Contamination	algae	Host	niche
GNM526588001548	MC157		bare flat	SZCCDBF019	17.0		Lin Xinqing	17.0	98.89865023244911	2.917785194321507			intertidal
GNM526588001587	MC157		bare flat	SZCCDBA157	21.0		Lin Xinqing	21.0	98.74946282767512	3.527433150338178			intertidal
GNM526588003241	MC157		Spartina	CRZC043	59.0		Song Zenglei	59.0	98.83326171035668	3.0618838021072663			intertidal
GNM526588003577	MC157		Spartina	TAZC062	44.0		Song Zenglei	44.0	98.83326171035668	3.010895063967689			intertidal
GNM526588002897	MC157		mangrove	HKCCHK118	32.0		Lin Xingqin	32.0	98.75200218775636	2.545345715736777			intertidal
GNM526588001584	MC157		bare flat	SZCCDBF025	20.0		Lin Xinqing	20.0	98.9030941125913	2.8479527920868706			intertidal
GNM526588001602	MC157		bare flat	SZCCDBH051	35.0		Lin Xinqing	35.0	98.9030941125913	3.965613839915516			intertidal
GNM526588001549	MC157		bare flat	SZCCDBD025	49.0		Lin Xinqing	49.0	98.74946282767512	4.485134666698913			intertidal
GNM526588001538	MC157		bare flat	SZCCDBD012	54.0		Lin Xinqing	54.0	98.74946282767512	4.438579731875822			intertidal
GNM526588001593	MC157		bare flat	SZCCDBD011	48.0		Lin Xinqing	48.0	98.77739578856898	4.438579731875822			intertidal
GNM526588002941	MC157		bare flat	SZCCDBAO019	50.0		Lin Xingqin	50.0	98.77739578856898	4.267878304191154			intertidal
GNM526588002906	MC157		mangrove	HKCCHK216	40.0		Lin Xingqin	40.0	98.77739578856898	3.833365579175634			intertidal
GNM526588002982	MC155		bare flat	SZCCDBTM012	78.0		Lin Xingqin	78.0	98.84722819080362	4.28650027812039			intertidal
GNM526588002964	MC155		bare flat	SZCCDBMA037	89.0		Lin Xingqin	89.0	98.84722819080362	4.017811797141406			intertidal
GNM526588001522	MC155		bare flat	SZCCDBG020	66.0		Lin Xinqing	66.0	98.84722819080362	3.215736777189291			intertidal
GNM526588001595	MC155		bare flat	SZCCDBC099	59.0		Lin Xinqing	59.0	98.84722819080362	3.319487774795037			intertidal
GNM526588001566	MC155		bare flat	SZCCDBA132	54.0		Lin Xinqing	54.0	98.84722819080362	3.076071972720017			intertidal
GNM526588001553	MC155		bare flat	SZCCDBF064	63.0		Lin Xinqing	63.0	98.78737184603106	2.8938426564124886			intertidal
GNM526588002985	MC155		bare flat	SZCCDBTM024	68.0		Lin Xingqin	68.0	98.84722819080362	2.9204454763113983			intertidal
GNM526588002914	MC155		mangrove	HKCCHK392	85.0		Lin Xingqin	85.0	98.78737184603106	3.5801954098043485			intertidal
GNM526588002898	MC155		mangrove	HKCCHK129	63.0		Lin Xingqin	63.0	98.76342930812204	3.197114803260055			intertidal
GNM526588001531	MC155		bare flat	SZCCDBF030	64.0		Lin Xinqing	64.0	98.77739578856898	3.469793707223875			intertidal
GNM526588003553	MC155		Spartina	SAZC022	53.0		Song Zenglei	53.0	98.70756338633434	3.265156631078419			intertidal
GNM526588003573	MC155		Spartina	TAZA027	53.0		Song Zenglei	53.0	98.70756338633434	2.985827022139872			intertidal
GNM526588003186	MC155		Spartina	SATA066	63.0		Song Zenglei	63.0	98.70756338633434	2.985827022139872			intertidal
GNM526588003296	MC155		Spartina	SATB030	72.0		Song Zenglei	72.0	98.77739578856898	3.143909163462236			intertidal
GNM526588002896	MC155		mangrove	HKCCHK109	73.0		Lin Xingqin	73.0	98.77739578856898	2.7476480688771194			intertidal
GNM526588002915	MC155		mangrove	HKCCHK440	87.0		Lin Xingqin	87.0	98.6842859189228	2.947048296210307			intertidal
GNM526588002918	MC155		mangrove	HKCCHK83	71.0		Lin Xingqin	71.0	98.6842859189228	2.8366465936298337			intertidal
GNM526588003494	MC155		bare flat	SZCCYKF118	99.0		Huang Yanyan	99.0	98.61445351668816	3.652688094028876			intertidal
GNM526588001528	MC159		bare flat	SZCCDBC123	67.0		Lin Xinqing	67.0	99.12655779974216	2.7512617736081424			intertidal
GNM526588001537	MC159		bare flat	SZCCDBA153	77.0		Lin Xinqing	77.0	99.12655779974216	2.7512617736081424			intertidal
GNM526588001544	MC159		bare flat	SZCCDBD023	75.0		Lin Xinqing	75.0	98.84722819080362	2.8257496693250888			intertidal
GNM526588002905	MC159		mangrove	HKCCHK210	92.0		Lin Xingqin	92.0	99.12655779974216	3.384408887202184			intertidal
GNM526588001583	MC159		bare flat	SZCCDBE003	45.0		Lin Xinqing	45.0	99.12655779974216	2.47551331350214			intertidal
GNM526588002900	MC159		mangrove	HKCCHK136	58.0		Lin Xingqin	58.0	99.12655779974216	2.47551331350214			intertidal
GNM526588002895	MC159		mangrove	HKCCHK106	45.0		Lin Xingqin	45.0	99.12655779974216	3.020206050932308			intertidal
GNM526588001560	MC159		bare flat	SZCCDBH084	64.0		Lin Xinqing	64.0	98.77739578856898	4.011826162664152			intertidal
GNM526588001622	MC159		bare flat	SZCCDBC112	64.0		Lin Xinqing	64.0	98.84722819080362	3.522999347021693			intertidal
GNM526588001557	MC159		bare flat	SZCCDBE002	70.0		Lin Xinqing	70.0	98.84722819080362	3.150559868436964			intertidal
GNM526588001518	MC159		bare flat	SZCCDBD032	42.0		Lin Xinqing	42.0	99.12655779974216	3.406612009963965			intertidal
GNM526588001524	MC159		bare flat	SZCCDBG054	72.0		Lin Xinqing	72.0	98.84722819080362	3.2046352158084006			intertidal
GNM526588000946	MC159		mangrove	HKCCE4575	95.0		Zhou Zhichao	95.0	98.84722819080362	3.064970411339127			intertidal
GNM526588002904	MC159		mangrove	HKCCHK194	47.0		Lin Xingqin	47.0	98.84722819080362	3.718530073278677			intertidal
GNM526588001540	MC159		bare flat	SZCCDBB068	39.0		Lin Xinqing	39.0	98.84722819080362	3.2064257902246727			intertidal
GNM526588001575	MC159		bare flat	SZCCDBB085	37.0		Lin Xinqing	37.0	99.12655779974216	3.602142736220949			intertidal
GNM526588002980	MC159		bare flat	SZCCDBTA005	61.0		Lin Xingqin	61.0	99.12655779974216	3.4606873573354022			intertidal
GNM526588001570	MC159		bare flat	SZCCDBC124	49.0		Lin Xinqing	49.0	99.12655779974216	3.454718775947826			intertidal
GNM526588001535	MC159		bare flat	SZCCDBG057	56.0		Lin Xinqing	56.0	99.12655779974216	3.2297032576362183			intertidal
GNM526588002967	MC155		bare flat	SZCCDBSA017	106.0		Lin Xingqin	106.0	98.80575197614304	5.53538485102731			intertidal
GNM526588001590	MC155		bare flat	SZCCDBG009	107.0		Lin Xinqing	107.0	98.52642236720447	4.664464957761047			intertidal
GNM526588002986	MC155		bare flat	SZCCDBTM025	126.0		Lin Xingqin	126.0	98.80575197614304	4.515489166327154			intertidal
GNM526588002983	MC155		bare flat	SZCCDBTM015	118.0		Lin Xingqin	118.0	98.80575197614304	4.059250805060861			intertidal
GNM526588001601	MC155		bare flat	SZCCDBH053	118.0		Lin Xinqing	118.0	98.52642236720447	5.200189320301052			intertidal
GNM526588001571	MC155		bare flat	SZCCDBE010	108.0		Lin Xinqing	108.0	98.24709275826594	5.591250772815019			intertidal
GNM526588001561	MC155		bare flat	SZCCDBH071	112.0		Lin Xinqing	112.0	98.52642236720447	4.524800153291774			intertidal
GNM526588001608	MC155		bare flat	SZCCDBF091	107.0		Lin Xinqing	107.0	98.52642236720447	4.524800153291774			intertidal
GNM526588001532	MC155		bare flat	SZCCDBA161	126.0		Lin Xinqing	126.0	98.43331249755832	4.608599035973338			intertidal
GNM526588001515	MC155		bare flat	SZCCDBC043	120.0		Lin Xinqing	120.0	98.52642236720447	4.468934231504064			intertidal
GNM526588001612	MC155		bare flat	SZCCDBC142	113.0		Lin Xinqing	113.0	98.43331249755832	3.58439046986533			intertidal
GNM526588001542	MC155		bare flat	SZCCDBH052	107.0		Lin Xinqing	107.0	98.52642236720447	4.617910022937955			intertidal
GNM526588001564	MC155		bare flat	SZCCDBC065	117.0		Lin Xinqing	117.0	98.43331249755832	3.4447256653960565			intertidal
GNM526588001511	MC155		bare flat	SZCCDBF072	124.0		Lin Xinqing	124.0	98.43331249755832	4.329269427034791			intertidal
GNM526588001517	MC155		bare flat	SZCCDBD026	113.0		Lin Xinqing	113.0	98.43331249755832	3.491280600219148			intertidal
GNM526588001527	MC155		bare flat	SZCCDBH050	102.0		Lin Xinqing	102.0	98.43331249755832	4.578005793089591			intertidal
GNM526588001533	MC155		bare flat	SZCCDBD015	112.0		Lin Xinqing	112.0	98.52642236720447	4.562044101150247			intertidal
GNM526588001539	MC155		bare flat	SZCCDBG027	115.0		Lin Xinqing	115.0	98.52642236720447	4.655153970796429			intertidal
GNM526588001514	MC155		bare flat	SZCCDBB082	126.0		Lin Xinqing	126.0	98.52642236720447	4.003384883273151			intertidal
GNM526588001545	MC155		bare flat	SZCCDBC102	132.0		Lin Xinqing	132.0	98.24709275826594	5.061733734918092			intertidal
GNM526588001550	MC155		bare flat	SZCCDBB074	112.0		Lin Xinqing	112.0	98.43331249755832	3.677500339511513			intertidal
GNM526588001567	MC155		bare flat	SZCCDBA123	118.0		Lin Xinqing	118.0	98.24709275826594	5.543144006831158			intertidal
GNM526588002940	MC155		bare flat	SZCCDBAO004	132.0		Lin Xingqin	132.0	98.80575197614304	3.761299222193077			intertidal
GNM526588002965	MC155		bare flat	SZCCDBMA053	147.0		Lin Xingqin	147.0	98.80575197614304	3.714744287369985			intertidal
GNM526588001577	MC155		bare flat	SZCCDBH010	146.0		Lin Xinqing	146.0	98.43331249755832	3.7302625989776814			intertidal
GNM526588001588	MC155		bare flat	SZCCDBB087	140.0		Lin Xinqing	140.0	98.43331249755832	3.342304808785256			intertidal
GNM526588001521	MC155		bare flat	SZCCDBC100	126.0		Lin Xinqing	126.0	98.43331249755832	5.103411486093051			intertidal
GNM526588001510	MC155		bare flat	SZCCDBE007	131.0		Lin Xinqing	131.0	98.43331249755832	4.040628831131625			intertidal
GNM526588001554	MC155		bare flat	SZCCDBC097	172.0		Lin Xinqing	172.0	98.9868929952729	5.225784457628033			intertidal
GNM526588001513	MC155		bare flat	SZCCDBA140	111.0		Lin Xinqing	111.0	99.30812204555222	2.971860541692944			intertidal
GNM526588001597	MC155		bare flat	SZCCDBG015	117.0		Lin Xinqing	117.0	99.30812204555222	2.971860541692944			intertidal
GNM526588002909	MC155		mangrove	HKCCHK287	127.0		Lin Xingqin	127.0	99.30812204555222	3.4839648247469484			intertidal
GNM526588003551	MC155		Spartina	SAZB035	119.0		Song Zenglei	119.0	99.30812204555222	3.8107190760822047			intertidal
GNM526588003584	MC155		Spartina	TAZB040	134.0		Song Zenglei	134.0	99.30812204555222	3.8107190760822047			intertidal
GNM526588003585	MC155		Spartina	TAZC066	129.0		Song Zenglei	129.0	99.30812204555222	3.593701456829949			intertidal
GNM526588003578	MC155		Spartina	TAZD020	123.0		Song Zenglei	123.0	99.30812204555222	3.7056379374815127			intertidal
GNM526588001603	MC155		bare flat	SZCCDBH089	107.0		Lin Xinqing	107.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588001558	MC155		bare flat	SZCCDBH056	102.0		Lin Xinqing	102.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588002913	MC155		mangrove	HKCCHK386	122.0		Lin Xingqin	122.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588002910	MC155		mangrove	HKCCHK306	112.0		Lin Xingqin	112.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588002903	MC155		mangrove	HKCCHK170	119.0		Lin Xingqin	119.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588001604	MC155		bare flat	SZCCDBE075	101.0		Lin Xinqing	101.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588002902	MC155		mangrove	HKCCHK141	121.0		Lin Xingqin	121.0	99.30812204555222	3.1263615341827635			intertidal
GNM526588002911	MC155		mangrove	HKCCHK310	110.0		Lin Xingqin	110.0	99.30812204555222	3.070495612395054			intertidal
GNM526588001579	MC155		bare flat	SZCCDBG042	90.0		Lin Xinqing	90.0	99.30812204555222	4.647599452068726			intertidal
GNM526588001572	MC155		bare flat	SZCCDBC095	102.0		Lin Xinqing	102.0	99.30812204555222	4.675532412962581			intertidal
GNM526588002901	MC155		mangrove	HKCCHK138	116.0		Lin Xingqin	116.0	99.30812204555222	5.066593865476547			intertidal
GNM526588003250	MC155		Spartina	SATC015	136.0		Song Zenglei	136.0	99.30812204555222	3.026738934560164			intertidal
GNM526588003229	MC155		Spartina	SAZB003	123.0		Song Zenglei	123.0	99.30812204555222	2.875425319559397			intertidal
GNM526588003259	MC155		Spartina	CRZE015	122.0		Song Zenglei	122.0	99.32208852599912	3.1813577483968545			intertidal
GNM526588001568	MC155		bare flat	SZCCDBC027	34.0		Lin Xinqing	34.0	99.39192092823376	3.586385681357748			intertidal
GNM526588002899	MC155		mangrove	HKCCHK133	45.0		Lin Xingqin	45.0	99.39192092823376	4.218219707046522			intertidal
GNM526588001591	MC155		bare flat	SZCCDBA104	50.0		Lin Xinqing	50.0	99.39192092823376	3.569315538589281			intertidal
GNM526588003248	MC155		Spartina	TAZD014	70.0		Song Zenglei	70.0	99.05672539750752	3.0789368917860536			intertidal
GNM526588003240	MC155		Spartina	CRTC031	72.0		Song Zenglei	72.0	99.05672539750752	2.7996072828475063			intertidal
GNM526588003258	MC155		Spartina	SAZC040	73.0		Song Zenglei	73.0	99.05672539750752	3.1813577483968545			intertidal
GNM526588003242	MC155		Spartina	SATB038	67.0		Song Zenglei	67.0	99.05672539750752	2.7996072828475063			intertidal
GNM526588003252	MC155		Spartina	SATA054	66.0		Song Zenglei	66.0	99.05672539750752	3.1254918266091454			intertidal
GNM526588003254	MC155		Spartina	SATB023	84.0		Song Zenglei	84.0	99.05672539750752	3.1254918266091454			intertidal
GNM526588003498	MC155		bare flat	SZCCYKF132	72.0		Huang Yanyan	72.0	99.05672539750752	2.883406165529072			intertidal
GNM526588003244	MC155		Spartina	TASD019	63.0		Song Zenglei	63.0	99.05672539750752	3.1004237847813263			intertidal
GNM526588001605	MC155		bare flat	SZCCDBH060	41.0		Lin Xinqing	41.0	99.26622260421144	3.666859211551949			intertidal
GNM526588001614	MC155		bare flat	SZCCDBC129	40.0		Lin Xinqing	40.0	99.26622260421144	3.778591055127368			intertidal
GNM526588001582	MC155		bare flat	SZCCDBH055	67.0		Lin Xinqing	67.0	99.26622260421144	3.9727916403894064			intertidal
GNM526588001580	MC155		bare flat	SZCCDBG044	33.0		Lin Xinqing	33.0	99.33605500644607	3.4467208768884747			intertidal
GNM526588003245	MC155		Spartina	TATA057	79.0		Song Zenglei	79.0	99.26622260421144	2.8399548930275187			intertidal
GNM526588003247	MC155		Spartina	TATD031	87.0		Song Zenglei	87.0	99.26622260421144	3.088247878750672			intertidal
GNM526588003273	MC155		Spartina	SATA053	81.0		Song Zenglei	81.0	99.26622260421144	2.964101385889095			intertidal
GNM526588003424	MC155		bare flat	SZCCYKD017	154.0		Huang Yanyan	154.0	99.26622260421144	3.982102627354024			intertidal
GNM526588003243	MC155		Spartina	SATE060	126.0		Song Zenglei	126.0	99.2232488182209	3.1441138005383813			intertidal
GNM526588003255	MC155		Spartina	SATC021	152.0		Song Zenglei	152.0	99.26622260421144	3.605007655286985			intertidal
GNM010500245	MC155		river sediment	Ruegeria sp. PrR005	57.0	Others	-	57.0	99.39192092823376	3.303474923586656			submerged
GNM526588001546	MC155		bare flat	SZCCDBA081	53.0		Lin Xinqing	53.0	99.33605500644607	3.5427127186903724			intertidal
GNM526588001609	MC155		bare flat	SZCCDBA136	34.0		Lin Xinqing	34.0	99.33605500644607	3.019728564421301			intertidal
GNM526588001592	MC205		bare flat	SZCCDBC076	85.0		Lin Xinqing	85.0	98.32348517404384	3.8336981144243714			intertidal
GNM526588002977	MC173		bare flat	SZCCDBTA003-1	87.0		Lin Xingqin	87.0	98.17439853752704	5.224914750054416			intertidal
GNM526588002978	MC173		bare flat	SZCCDBTA003-2	85.0		Lin Xingqin	85.0	98.17439853752704	5.224914750054416			intertidal
GNM526588002979	MC173		bare flat	SZCCDBTA004	92.0		Lin Xingqin	92.0	98.23425488229958	5.224914750054416			intertidal
GNM900101475	MC164		others	Ruegeria marina CGMCC 1.9108	51.0	Others	-	51.0	96.50551496920212	5.998554746090074			Unknown
GNM526588003351	MC164		Spartina	TASC037	74.0		Song Zenglei	74.0	97.5669674831686	5.517487086251464			intertidal
GNM526588003504	MC164		Spartina	CRSB015	59.0		Song Zenglei	59.0	96.36288757797138	5.992347421446994			intertidal
GNM526588003501	MC164		bare flat	SZCCYKF146	69.0		Huang Yanyan	69.0	97.40402521128776	5.275401425171389			intertidal
GNM021405485	MC161		bare flat	SZCCDBG002  	29.0	LuoLab	Lin Xingqin	29.0	99.39192092823376	3.3000798084596963			intertidal
GNM526588000186	MC161		bare flat	SP008	30.0		Jesse McNichol	30.0	99.29881105858756	13.423117850492153			intertidal
GNM021405465	MC161		bare flat	SZCCDBAO042  	39.0	LuoLab	Lin Xingqin	39.0	99.3704340352385	1.4957435488161746			intertidal
GNM021405365	MC161		bare flat	HKCCSP326  	42.0	LuoLab	-	42.0	99.39192092823376	2.5879939427425462			intertidal
GNM022321465	MC161		bare flat	1NDH52C  	73.0	Others	-	73.0	99.35700472711645	2.078788684933936			intertidal
GNM021405405	MC161		bare flat	HKCCSP003  	32.0	LuoLab	-	32.0	99.39192092823376	2.883080606544293			intertidal
GNM021405385	MC161		bare flat	HKCCSA032  	30.0	LuoLab	-	30.0	99.39192092823376	1.99853684490556			intertidal
GNM021405505	MC161		bare flat	SZCCDBD003  	22.0	LuoLab	Lin Xingqin	22.0	99.39192092823376	1.5329874966746475			intertidal
GNM526588003417	MC161		bare flat	SZCCBHC223	45.0		Huang Yanyan	45.0	99.39192092823376	1.424120572165265			intertidal
GNM021405525	MC161		bare flat	SZCCDBG043  	4.0	LuoLab	Lin Xingqin	4.0	99.32208852599912	2.90635807395584			intertidal
GNM021405425	MC218		intertidal sediments	HKCCM208  	69.0	LuoLab	-	69.0	99.32208852599912	2.569167331737164			intertidal
GNM526588002917	MC218		mangrove	HKCCHK472	69.0		Lin Xingqin	69.0	99.32208852599912	2.569167331737164			intertidal
GNM021405545	MC161		bare flat	SZCCDBF007  	4.0	LuoLab	Lin Xingqin	4.0	99.39192092823376	3.104549082202713			intertidal
GNM526588003557	MC171		Spartina	SAZD011	45.0		Song Zenglei	45.0	99.48503079787996	3.765629156690609			intertidal
GNM021405555	MC171		bare flat	SZCCDBB064  	40.0	LuoLab	Lin Xingqin	40.0	99.48503079787996	3.12317105613195			intertidal
GNM526588003484	MC169		bare flat	SZCCYKF070	49.0		Huang Yanyan	49.0	99.34536599341068	4.238494280393722			intertidal
GNM526588003441	MC169		bare flat	SZCCYKD163	51.0		Huang Yanyan	51.0	99.49833220782942	4.573689811119978			intertidal
GNM018972145	MC176		natural sea area	Ruegeria pomeroyi DSS-3-B	1.0	Others	-	1.0	96.12376450365278	1.3002128225591914			submerged
GNM000011965	MC176		bare flat	Ruegeria pomeroyi DSS-3	2.0	Others	-	2.0	99.1963902019768	1.3002128225591914			intertidal
GNM013373735	MC176		natural sea area	Ruegeria pomeroyi HF-Dia28	200.0	Others	-	200.0	92.8595985020566	1.7192072359670123			submerged
GNM013373705	MC176		natural sea area	Ruegeria pomeroyi HF-Din03	78.0	Others	-	78.0	96.7082079931242	1.3002128225591914			submerged
GNM003516265	MC176		others	Ruegeria sp. UBA8874	428.0	Others	 	428.0	64.03017898047474	1.8256185155626496			Unknown
GNM526588002919	MC193		mangrove	HKCCHK93	74.0		Lin Xingqin	74.0	99.43382036957456	1.7591114658153764			intertidal
GNM526588001418	MC38		brown algae	HKCCA5538	51.0		Chu Xiao	51.0	96.83626661978616	2.718143123171056			submerged
GNM526588001419	MC38		brown algae	HKCCA5594	58.0		Chu Xiao	58.0	96.83626661978616	4.720005320563979			submerged
GNM526588002515	MC38		brown algae	HKCCA4881	45.0		Chu Xiao	45.0	96.83626661978616	2.6250332535248733			submerged
GNM526588001449	MC182		brown algae	HKCCC1203	17.0		Chu Xiao	17.0	96.1847192224287	1.2702846501729184			submerged
GNM023502395	MC195		Sponge	2012CJ41-6  	119.0	Others	-	119.0	98.28890150817526	3.33140788448051		sponge(Callyspongia)	submerged
GNM526588002496	MC194		brown algae	HKCCC1134	120.0		Chu Xiao	120.0	98.19468318769997	5.94186384689178			submerged
GNM526588002502	MC181		brown algae	HKCCC1519	161.0		Chu Xiao	161.0	98.78437902879244	5.584375277112707			submerged
GNM526588000072	MC206		brown algae	HKCCA0299	76.0		Chu Xiao	76.0	98.37469560234923	5.958366586858207			submerged
GNM526588001406	MC191		brown algae	HKCCA5034	56.0		Chu Xiao	56.0	98.4886342707572	2.892391593508912			submerged
GNM526588002472	MC200		brown algae	HKCCA5748	50.0		Chu Xiao	50.0	96.29662164249744	2.7649026950702926			submerged
GNM526588002530	MC183		brown algae	HKCCA5730	115.0		Chu Xiao	115.0	97.41047127918634	6.349871419703822			submerged
GNM526588002518	MC190		brown algae	HKCCA5291	66.0		Chu Xiao	66.0	98.50683999427017	6.41504832845615			submerged
GNM900537075	MC196		Sponge	Tropicibacter sp. Alg240-R139	14.0	Others	-	14.0	98.807656496204	4.00791945484683		Marine Sponge	submerged
GNM6393	MC207		coral	HKCCD9129	16.0		Luo Danli	16.0	98.69771522704482	3.4585712239343525			
GNM900302455	MC166		bare flat	Ruegeria mediterranea CECT 7615	49.0	Others	-	49.0	98.15588740868073	4.743487425051671			intertidal
GNM900537105	MC166		Sponge	Tropicibacter sp. Alg239-R130	21.0	Others	-	21.0	98.1304938078681	4.510712750936215		Marine Sponge	submerged
